year,mo,dy, hr, Pmean, Pstdv,  n
2016,09,11, 19, 0.020, 0.014,  3
2016,09,12, 07, 0.166, 0.118, 11
2016,09,12, 08, 0.721, 0.222, 12
2016,09,12, 09, 1.366, 0.341, 12
2016,09,12, 10, 2.048, 0.134, 12
2016,09,12, 11, 2.399, 0.079, 12
2016,09,12, 12, 2.554, 0.035, 12
2016,09,12, 13, 2.553, 0.028, 12
2016,09,12, 14, 2.394, 0.072, 12
2016,09,12, 15, 2.098, 0.125, 12
2016,09,12, 16, 1.590, 0.181, 12
2016,09,12, 17, 0.931, 0.213, 12
2016,09,12, 18, 0.281, 0.162, 12
2016,09,12, 19, 0.029, 0.016,  5
2016,09,13, 07, 0.145, 0.102, 11
2016,09,13, 08, 0.685, 0.213, 12
2016,09,13, 09, 1.359, 0.191, 12
2016,09,13, 10, 1.908, 0.139, 12
2016,09,13, 11, 2.278, 0.077, 12
2016,09,13, 12, 2.457, 0.031, 12
2016,09,13, 13, 2.510, 0.020, 12
2016,09,13, 14, 2.366, 0.073, 12
2016,09,13, 15, 2.076, 0.126, 12
2016,09,13, 16, 1.558, 0.189, 12
2016,09,13, 17, 0.891, 0.209, 12
2016,09,13, 18, 0.256, 0.150, 12
2016,09,13, 19, 0.029, 0.014,  5
2016,09,14, 07, 0.134, 0.098, 11
2016,09,14, 08, 0.675, 0.211, 12
2016,09,14, 09, 1.362, 0.192, 12
2016,09,14, 10, 1.925, 0.136, 12
2016,09,14, 11, 2.258, 0.068, 12
2016,09,14, 12, 2.436, 0.032, 12
2016,09,14, 13, 2.465, 0.025, 12
2016,09,14, 14, 2.364, 0.054, 12
2016,09,14, 15, 2.071, 0.130, 12
2016,09,14, 16, 1.509, 0.208, 12
2016,09,14, 17, 0.831, 0.198, 12
2016,09,14, 18, 0.244, 0.132, 12
2016,09,14, 19, 0.029, 0.018,  5
2016,09,15, 07, 0.130, 0.082, 10
2016,09,15, 08, 0.357, 0.087, 12
2016,09,15, 09, 1.121, 0.325, 12
2016,09,15, 10, 1.624, 0.410, 12
2016,09,15, 11, 2.344, 0.099, 12
2016,09,15, 12, 2.497, 0.030, 12
2016,09,15, 13, 2.549, 0.012, 12
2016,09,15, 14, 2.404, 0.071, 12
2016,09,15, 15, 1.942, 0.201, 12
2016,09,15, 16, 1.402, 0.187, 12
2016,09,15, 17, 0.465, 0.252, 12
2016,09,15, 18, 0.104, 0.036, 12
2016,09,15, 19, 0.046, 0.033,  5
2016,09,16, 07, 0.065, 0.023,  9
2016,09,16, 08, 0.425, 0.354, 12
2016,09,16, 09, 0.929, 0.367, 12
2016,09,16, 10, 0.985, 0.400, 12
2016,09,16, 11, 1.623, 0.580, 12
2016,09,16, 12, 1.569, 0.793, 12
2016,09,16, 13, 1.343, 0.392, 12
